枪械名称,类型,价格,核心配件,改枪码,备注,图片
k416,丐版,26-28w,实用消焰器，A8枪管，侵略枪托，D-2后握把，RK-0前握把,K416突击步枪-烽火地带-6HRFAAG0E4A21AQNOF0DJ,虽然是丐版但还有很多优化空间,images/k416-00.png
k416,半改,32w,相比丐版替换了钢制膛口和棱镜二倍，加了镭射,K416突击步枪-烽火地带-6HRFAUG0E4A21AQNOF0DJ,如果有砖皮可以大幅改善枪焰问题，如果不能接受枪口可以换薪火,images/k416-01.png
k416,半改,35w,单倍416-c机动近战改法,K416突击步枪-烽火地带-6HRPLEG0E4A21AQNOF0DJ,射程内可以稳压，高机动适合一号位,images/k416-addon01.png
k416,小满改,38w,替换了先进多口径消音，加了后坐力贴片,K416突击步枪-烽火地带-6HRFBSO0E4A21AQNOF0DJ,最常用的方案，射程37米机密绝密都能打,images/k416-02.png
k416,满改,48w,单倍416-c枪托,K416突击步枪-烽火地带-6HRPL380E4A21AQNOF0DJ,满射程416-c枪托改法，但是20发之后会开始抢鼠标,images/k416-addon00.png
k416,满改,53w,"MERGE: 两种不同改法，见图","K416突击步枪-烽火地带-6HRFCL00E4A21AQNOF0DJ","更稳定的改法",images/k416-03.png
k416,满改,54w,"",K416突击步枪-烽火地带-6HRFCLK0E4A21AQNOF0DJ,满射程改法,images/k416-04.png
mk47,丐版,25w,钛金制退器，战术三角握把，AR-MOE后握，侵略核心枪托,MK47突击步枪-烽火地带-6HRPJ880E4A21AQNOF0DJ,只推荐机密场使用，这枪不装枪管五蛋打125五甲下腹四枪打不死,images/mk47-00.png
mk47,半改,43w,短管，战术三角握把,MK47突击步枪-烽火地带-6HRPIL80E4A21AQNOF0DJ,在确保操控速度的情况下最大限度地叠了后坐力控制，应该算好压的,images/mk47-01.png
mk47,满改,67w,钛金+共振二+UR托，富哥可以上模块化AR后握,MK47突击步枪-烽火地带-6HRFNN00E4A21AQNOF0DJ,理解偷的聪聪的，这枪就是得堆后坐力控制，双垂直/水平收益不高,images/mk47-02.png
